address1,address2,city,country,createdAt,loc.coordinates,name,priceLevel,reviewStats.community.averageScore,reviewStats.community.count,reviewStats.dave.averageScore,reviewStats.dave.count,reviewStats.dave.totalScore,state,zip,formatted_address,latitude,longitude,string_concat,dave_score_int,review_number
1589 2nd Ave,,New York,US,2018-03-23T17:42:01.387Z,"[-73.95369, 40.77569]",Va Bene,3,0,0,6.4,1,6.4,NY,10028,"1589 2nd Ave, New York, NY 10028, USA",40.775677,-73.9536392,Va Bene | Dave - 6.4 | Community - 0.0,64,329
1477 York Ave,,New York,US,2018-04-16T19:58:11.549Z,"[-73.950927734375, 40.7708511352539]",Salvo's Pizzabar,2,7.809090909,11,7.8,1,7.8,NY,10075,"1477 York Ave, New York, NY 10075, USA",40.7709244,-73.951134,Salvo's Pizzabar | Dave - 7.8 | Community - 7.81,78,330
1488 1st Ave,,New York,US,2018-03-23T17:40:53.751Z,"[-73.953295, 40.774822]",La Mia Pizza,1,6.75,8,6.7,1,6.7,NY,10075,"1488 1st Avenue, New York, NY 10075, USA",40.771291,-73.95318,La Mia Pizza | Dave - 6.7 | Community - 6.75,67,331
1494 1st Ave,,New York,US,2018-03-23T17:40:49.126Z,"[-73.9520710818638, 40.7727488409694]",Italian Village Pizzeria,1,7.25,18,7.7,1,7.7,NY,10075,"1494 1st Avenue, New York, NY 10075, USA",40.7714577,-73.9529963,Italian Village Pizzeria | Dave - 7.7 | Community - 7.25,77,332
201 W 103rd St,,New York,US,2018-04-16T19:58:11.653Z,"[-73.9673846, 40.7987564]",Buchetta Brick Oven Pizza,2,0,0,6.7,1,6.7,NY,10025,"201 W 103rd St, New York, NY 10025, USA",40.7987416,-73.9673646,Buchetta Brick Oven Pizza | Dave - 6.7 | Community - 0.0,67,333
2709 Broadway,,New York,US,2018-08-01T20:44:27.556Z,"[-73.96861, 40.79958]",Broadway Pizza & Restaurant,1,6.7,4,6.2,1,6.2,NY,10025,"2709 Broadway, New York, NY 10025, USA",40.7996265,-73.9686711,Broadway Pizza & Restaurant | Dave - 6.2 | Community - 6.7,62,334
1217 Lexington Ave,,New York,US,2018-03-23T17:43:29.312Z,"[-73.95716, 40.77711]",Saba's Pizza,1,7.457692308,26,8.4,1,8.4,NY,10128,"1217 Lexington Ave, New York, NY 10028, USA",40.7770858,-73.9571289,Saba's Pizza | Dave - 8.4 | Community - 7.46,84,335
2578 Broadway,,New York,US,2018-04-16T19:58:10.809Z,"[-73.9709, 40.7954099]",Cafe Viva,1,5.8,3,1.8,1,1.8,NY,10025,"2578 Broadway, New York, NY 10025, USA",40.7952921,-73.9707437,Cafe Viva | Dave - 1.8 | Community - 5.8,18,336
1233 1st Ave,,New York,US,2018-03-23T17:44:08.214Z,"[-73.958705663681, 40.764380718592]",Pizza Park,1,7.142857143,7,4,1,4,NY,10021,"1233 1st Avenue, New York, NY 10065, USA",40.764447,-73.958677,Pizza Park | Dave - 4.0 | Community - 7.14,40,337
528 Columbus Ave,,New York,US,2018-04-16T19:58:10.809Z,"[-73.9726035, 40.7862219]",Pizza Pete's,1,6.630769231,13,7.2,1,7.2,NY,10024,"528 Columbus Ave, New York, NY 10024, USA",40.7862402,-73.9725922,Pizza Pete's | Dave - 7.2 | Community - 6.63,72,338
1159 3rd Ave,,New York,US,2018-03-23T17:42:30.927Z,"[-73.9624863, 40.766861]",Manhattan Brick Oven Pizza,2,6.4,9,7.9,1,7.9,NY,10065,"1159 3rd Ave, New York, NY 10065, USA",40.7668083,-73.9625052,Manhattan Brick Oven Pizza | Dave - 7.9 | Community - 6.4,79,339
1140 1st Ave,,New York,US,2018-03-23T17:44:03.878Z,"[-73.960297552948, 40.7617307131681]",Sutton Pizzeria,1,0,0,6.3,1,6.3,NY,10065,"1140 1st Avenue, New York, NY 10065, USA",40.7618037,-73.9601575,Sutton Pizzeria | Dave - 6.3 | Community - 0.0,63,340
1142 3rd Ave,,New York,US,2018-06-27T18:58:49.323Z,"[-73.9633564, 40.7664835]",Oath Pizza - East 67th Street,2,5.671428571,7,6.5,1,6.5,NY,10065,"1142 3rd Ave, New York, NY 10065, USA",40.7664835,-73.9633564,Oath Pizza - East 67th Street | Dave - 6.5 | Community - 5.67,65,341
1055 1st Ave,,New York,US,2018-08-06T20:14:57.296Z,"[-73.9626842, 40.7588567]",Brooklyn Pizza Masters,0,8.087179487,39,8.5,1,8.5,NY,10022,"1055 1st Avenue, New York, NY 10022, USA",40.7586551,-73.9630182,Brooklyn Pizza Masters | Dave - 8.5 | Community - 8.09,85,342
421 Amsterdam Ave,,New York,US,2018-12-13T20:32:24.175Z,"[-73.977569, 40.783841]",Made In New York Pizza,1,7.957142857,21,7.9,1,7.9,NY,10024,"421 Amsterdam Ave, New York, NY 10024, USA",40.7838392,-73.9775697,Made In New York Pizza | Dave - 7.9 | Community - 7.96,79,343
401 E 57th St,,New York,US,2018-04-16T19:58:09.174Z,"[-73.96261, 40.75842]",Kiss My Slice,0,3.55,2,7.1,1,7.1,NY,10022,"401 E 57th St, New York, NY 10022, USA",40.7584227,-73.9626049,Kiss My Slice | Dave - 7.1 | Community - 3.55,71,344
788 Lexington Ave,,New York,US,2018-03-23T17:43:12.313Z,"[-73.967358, 40.763764]",Farinella Bakery Pizza,2,5.966666667,3,6.2,1,6.2,NY,10065,"788 Lexington Ave, New York, NY 10065, USA",40.7637673,-73.967344,Farinella Bakery Pizza | Dave - 6.2 | Community - 5.97,62,345
1072 2nd Ave,,New York,US,2018-03-23T17:44:10.409Z,"[-73.965332, 40.758768]",Cafe Daniello's,2,7.64,25,8.1,1,8.1,NY,10022,"1072 2nd Ave, New York, NY 10022, USA",40.7587907,-73.9653527,Cafe Daniello's | Dave - 8.1 | Community - 7.64,81,346
324 Lafayette St,,New York,US,2018-08-29T15:03:41.118Z,"[-73.9951947, 40.7255312]",Gato,3,8.333333333,3,8.3,1,8.3,NY,10012,"324 Lafayette St, New York, NY 10012, USA",40.7256063,-73.9952614,Gato | Dave - 8.3 | Community - 8.33,83,347
303 Amsterdam Ave,,New York,US,2018-04-16T21:20:09.252Z,"[-73.980301, 40.779999]",Freddie & Pepper's,1,7.609090909,44,8.1,1,8.1,NY,10023,"303 Amsterdam Ave, New York, NY 10023, USA",40.7800257,-73.9803588,Freddie & Pepper's | Dave - 8.1 | Community - 7.61,81,348
70 W 71st St,,New York,US,2018-03-23T17:42:56.649Z,"[-73.9791117224133, 40.7765363632278]",Big Nick's Burger & Pizza Joint Too,2,0,0,4.2,1,4.2,NY,10023,"70 W 71st St, New York, NY 10023, USA",40.7764537,-73.9790728,Big Nick's Burger & Pizza Joint Too | Dave - 4.2 | Community - 0.0,42,349
186 Columbus Ave,,New York,US,2018-03-23T17:40:41.950Z,"[-73.98075, 40.77523]",Francesco's Pizzeria,1,7.136842105,19,8.1,1,8.1,NY,10023,"186 Columbus Ave, New York, NY 10023, USA",40.775197,-73.980691,Francesco's Pizzeria | Dave - 8.1 | Community - 7.14,81,350
173 1st Ave,,New York,US,2018-03-23T17:48:03.813Z,"[-73.98442, 40.72928]",Iggy's Pizzeria,1,5.725,4,6.2,1,6.2,NY,10003,"173 1st Avenue, New York, NY 10003, USA",40.7292588,-73.9843651,Iggy's Pizzeria | Dave - 6.2 | Community - 5.72,62,351
349 E 12th St,Ste A,New York,US,2018-03-23T17:47:59.499Z,"[-73.98381, 40.73039]",Motorino,2,8.385714286,7,7.6,1,7.6,NY,10003,"349 E 12th St, New York, NY 10003, USA",40.7303785,-73.9838136,Motorino | Dave - 7.6 | Community - 8.39,76,352
176 Prince St,,New York,US,2018-04-16T19:58:10.247Z,"[-74.0018919, 40.7262073]",Il Corallo Trattoria,2,0,0,7.1,1,7.1,NY,10012,"176 Prince St, New York, NY 10012, USA",40.7261754,-74.0019233,Il Corallo Trattoria | Dave - 7.1 | Community - 0.0,71,353
106 W Houston St,,New York,US,2018-03-23T17:43:54.345Z,"[-74.0004944801331, 40.7273563342024]",Arturo's,2,8.285714286,7,7.9,1,7.9,NY,10012,"106 W Houston St, New York, NY 10012, USA",40.7273906,-74.0003969,Arturo's | Dave - 7.9 | Community - 8.29,79,354
146 W Houston St,,New York,US,2018-03-23T17:42:26.493Z,"[-74.00188, 40.72813]",Song E Napule,2,8.45,2,7.7,1,7.7,NY,10012,"146 W Houston St, New York, NY 10012, USA",40.7281815,-74.0018494,Song E Napule | Dave - 7.7 | Community - 8.45,77,355
165 Bleecker St,,New York,US,2018-03-23T17:43:47.637Z,"[-74.00001, 40.72885]",Fiore's Pizza,1,7.166666667,15,7,1,7,NY,10012,"165 Bleecker St, New York, NY 10012, USA",40.7288479,-74.000013,Fiore's Pizza | Dave - 7.0 | Community - 7.17,70,356
93 Macdougal St,,New York,US,2018-03-23T17:47:01.211Z,"[-74.00111, 40.7294]",Denino's Greenwich Village,2,8.161290323,31,9,1,9,NY,10012,"93 Macdougal St, New York, NY 10012, USA",40.7294111,-74.0011691,Denino's Greenwich Village | Dave - 9.0 | Community - 8.16,90,357
7 Carmine St,,New York,US,2018-03-23T17:40:30.337Z,"[-74.0021299, 40.7305599]",Joe's Pizza,1,8.295833333,120,8.5,1,8.5,NY,10014,"7 Carmine St, New York, NY 10014, USA",40.7305876,-74.002141,Joe's Pizza | Dave - 8.5 | Community - 8.3,85,358
1900 Broadway,,New York,US,2018-03-23T17:42:58.784Z,"[-73.9819051, 40.77134]",Cafe Fiorello,3,7.9,1,7.2,1,7.2,NY,10023,"1900 Broadway, New York, NY 10023, USA",40.771542,-73.9814645,Cafe Fiorello | Dave - 7.2 | Community - 7.9,72,359
